,title,price,status,link
0,"AMD - Ryzen 5 5600X 4th Gen 6-core, 12-threads Unlocked Desktop Processor With Wraith Stealth Cooler",$279.99,Add to Cart,http://www.bestbuy.com//site/amd-ryzen-5-5600x-4th-gen-6-core-12-threads-unlocked-desktop-processor-with-wraith-stealth-cooler/6438943.p?skuId=6438943
1,"AMD - Ryzen 7 5800X 4th Gen 8-core, 16-threads Unlocked Desktop Processor Without Cooler",$419.99,Add to Cart,http://www.bestbuy.com//site/amd-ryzen-7-5800x-4th-gen-8-core-16-threads-unlocked-desktop-processor-without-cooler/6439000.p?skuId=6439000
2,AMD - Ryzen 7 3700X 3rd Generation 8-Core - 16-Thread 3.6 GHz (4.4 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,$279.99,Check Stores,http://www.bestbuy.com//site/amd-ryzen-7-3700x-3rd-generation-8-core-16-thread-3-6-ghz-4-4-ghz-max-boost-socket-am4-unlocked-desktop-processor/6356277.p?skuId=6356277
3,"AMD - Ryzen 9 5900X 4th Gen 12-core, 24-threads Unlocked Desktop Processor Without Cooler",$549.00,Check Stores,http://www.bestbuy.com//site/amd-ryzen-9-5900x-4th-gen-12-core-24-threads-unlocked-desktop-processor-without-cooler/6438942.p?skuId=6438942
4,"AMD - Ryzen 9 5950X 4th Gen 16-core, 32-threads Unlocked Desktop Processor Without Cooler",$799.00,Add to Cart,http://www.bestbuy.com//site/amd-ryzen-9-5950x-4th-gen-16-core-32-threads-unlocked-desktop-processor-without-cooler/6438941.p?skuId=6438941
5,AMD - Ryzen 7 3800X 3rd Generation 8-Core - 16-Thread - 3.9 GHz (4.5 GHz Max boost) Socket AM4 Unlocked Desktop Processor,$344.99,Add to Cart,http://www.bestbuy.com//site/amd-ryzen-7-3800x-3rd-generation-8-core-16-thread-3-9-ghz-4-5-ghz-max-boost-socket-am4-unlocked-desktop-processor/6356636.p?skuId=6356636
6,AMD - Ryzen 5 5600G 6-Core - 12-Thread - (4.4 GHz Max Boost) Unlocked Desktop Processor,$259.00,Check Stores,http://www.bestbuy.com//site/amd-ryzen-5-5600g-6-core-12-thread-4-4-ghz-max-boost-unlocked-desktop-processor/6474407.p?skuId=6474407
7,AMD - Ryzen 9 3900X 3rd Generation 12-core - 24-Thread - 3.8 GHz (4.6 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,$439.99,Check Stores,http://www.bestbuy.com//site/amd-ryzen-9-3900x-3rd-generation-12-core-24-thread-3-8-ghz-4-6-ghz-max-boost-socket-am4-unlocked-desktop-processor/6356274.p?skuId=6356274
8,AMD - Ryzen 3 3200G 2nd Generation 4-Core - 4-Thread - 3.6 GHz (4.0 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,$99.99,Sold Out,http://www.bestbuy.com//site/amd-ryzen-3-3200g-2nd-generation-4-core-4-thread-3-6-ghz-4-0-ghz-max-boost-socket-am4-unlocked-desktop-processor/6356279.p?skuId=6356279
9,AMD - Ryzen 5 3400G 2nd Generation 4-Core - 8-Thread - 3.7 GHz (4.2 GHz Max Boost) Socket AM4 Unlocked Desktop Processor,$149.99,Sold Out,http://www.bestbuy.com//site/amd-ryzen-5-3400g-2nd-generation-4-core-8-thread-3-7-ghz-4-2-ghz-max-boost-socket-am4-unlocked-desktop-processor/6356646.p?skuId=6356646
